Qty;Value;Device;Package;Parts;Description
4;;NSJ12HF-1;NSJ12HF-1;U$1, U$2, U$3, U$6;Stereo dual jack, full threaded nose
1;1.62M;R-EU_R0603;R0603;R49;RESISTOR, European symbol
8;100R;R-EU_0207/7;0207/7;R29, R30, R31, R32, R61, R62, R63, R64;RESISTOR, European symbol
8;100k;R-EU_0207/7;0207/7;R1, R2, R3, R4, R10, R27, R45, R46;RESISTOR, European symbol
1;100k\;R-EU_0207/7;0207/7;R11;RESISTOR, European symbol
20;100n;C-EUC0603;C0603;C1, C2, C3, C4, C5, C6, C20, C21, C22, C23, C24, C25, C39, C41, C44, C46, C47, C48, C49, C50;CAPACITOR, European symbol
2;100nF;C-EUC0603;C0603;C28, C29;CAPACITOR, European symbol
6;10k;R-EU_0207/7;0207/7;R13, R14, R18, R19, R28, R35;RESISTOR, European symbol
3;10k log;3RP/1610G;3RP/1610G;R9, R22, R44;16mm Potentiometer two level
2;10nF;C-EUC0603;C0603;C33, C34;CAPACITOR, European symbol
4;1M;R-EU_0207/7;0207/7;R51, R52, R56, R58;RESISTOR, European symbol
6;1k;R-EU_0207/7;0207/7;R53, R54, R55, R57, R59, R60;RESISTOR, European symbol
2;1uF;C-EUC0603;C0603;C30, C38;CAPACITOR, European symbol
1;1uf;C-EUC0603;C0603;C37;CAPACITOR, European symbol
1;20k8;R-EU_R0603;R0603;R47;RESISTOR, European symbol
1;215k;R-EU_R0603;R0603;R50;RESISTOR, European symbol
7;220p;C-EUC0603K;C0603K;C12, C13, C14, C17, C18, C31, C32;CAPACITOR, European symbol
2;220uF;CPOL-EUD/7343-31R;D/7343-31R;C35, C36;POLARIZED CAPACITOR, European symbol
22;2k49;R-EU_0207/7;0207/7;R5, R6, R7, R8, R12, R17, R20, R21, R23, R24, R25, R26, R33, R34, R36, R37, R38, R39, R40, R41, R42, R43;RESISTOR, European symbol
1;2k87;R-EU_R0603;R0603;R48;RESISTOR, European symbol
5;4.7uF;C15/7;C15B7;C7, C8, C9, C10, C11;CAPACITOR
3;47p;C-EUC0603K;C0603K;C15, C16, C19;CAPACITOR, European symbol
2;47uF;CPOL-EUD/7343-31R;D/7343-31R;C26, C27;POLARIZED CAPACITOR, European symbol
2;4k99;R-EU_0207/7;0207/7;R15, R16;RESISTOR, European symbol
4;4u7 16V;C-EUC1206;C1206;C40, C42, C43, C45;CAPACITOR, European symbol
4;DRV134SO-8;DRV134SO-8;SO-8;U1, U2, U3, U4;
1;INA2134-EP;INA2134U;SO14;IC1;Audio Differential Line Receivers
2;LM4558D;LM4558D;SO08;IC2, IC5;OP AMP
1;LM4562;LM4558D;SO08;IC4;OP AMP
2;LME49600;LME49600;TS5B;IC7, IC8;High Performance, High Fidelity, High Current Audio Buffer
2;LME49740;TL074D;SO14;IC3, IC6;OP AMP
3;MOUNT-HOLE3.2;MOUNT-HOLE3.2;3,2;H1, H3, H4;MOUNTING HOLE with drill center marker
15;PAD1.5MM;PAD1.5MM;PAD_1.5MM;U$7, U$8, U$10, U$11, U$12, U$13, U$14, U$15, U$16, U$17, U$18, U$19, U$20, U$21, U$22;
5;SOLDERLINK;SOLDERLINK;SOLDERLINK;S1, S2, S3, S4, S5;
1;TPS7A3301KC;TPS7A3301KC;TO220-7;U$4;Ultralow-Noise Negative Voltage Regulator v3
1;TPS7A4501;TPS7A4501;SOT223-5;U$5;LOW-NOISE FAST-TRANSIENT-RESPONSE 1.5-A LOW-DROPOUT VOLTAGE
